question,answer,fake1,fake2,fake3
"Si N ≤ M, ¿cómo se prueba que M noetheriano ⇔ N y M/N noetherianos?","Teorema de la correspondencia + contenidos estrictos + estabilización de cadenas","Utilizando reducción al absurdo","Viéndolo para anillos y obteniéndolo para módulos como consecuencia","Es consecuencia directa del resultado anterior"
"¿Qué dice el Lema de Artin?","Si en A el (0) es producto de maximales, entonces para todo A-mod artiniano ⇔ noetheriano","Si A es un DIP, entonces noetheriano ⇔ artiniano","Todo módulo artiniano es noetheriano","Un anillo A es artiniano ⇔ noetheriano y todo ideal primo es maximal"
"Di un ejemplo de módulo noetheriano pero no artiniano","Z-mod Z","Z-mod Z_{p^∞}","Q-mod Q","Z-mod Z[X]"
"¿Qué se usa en la prueba de rg(Fj/F_{j-1})=1 ⇒ F libre, rg(F)=n?","Inducción en la construcción","Inducción en el rango de F","Reducción al absurdo","Saorín lo deja como ejercicio"
"En la prueba de G ≤ F libre ⇒ G libre y rg(G) ≤ rg(F), ¿por qué hay que ver que todo submódulo de Fj/F_{j-1} es nulo ó de rango 1?","Para poder afirmar que los G ∩ F_j también son de rango 0 ó 1","Para que la cadena creada sea ascendente","Eso no se usa en esa demostración","Para poder construir la proyección sobre G"
"¿Cuál de estos pasos sí se usa para ver que t(M) = ⊕M(p)?","Identidad de Bezout","Teorema de la correspondencia","Todo epimorfismo p:M  →  F libre tiene inverso por la derecha","Ninguna de las otras"
"¿Por qué en la parte de Saorín todo primo es irreducible?","Porque A es un DFU","Porque A es un dominio","Todo primo siempre es irreducible","Porque A es un cuerpo"
"En la prueba de que t(M) es suma finita de M(p_i) no nulos, ¿por qué sabemos que M es noetheriano?","A es un DIP, luego es noetheriano, luego M noetheriano ⇔ M FG","Porque sus submódulos o bien son libres o están en un M(p_i)","Porque A es FG","Porque M es FG"
"¿Cuál de estas cosas ¡NO! se usa en la prueba de que FG y libre de torsión ⇔ libre de rango finito?","Reducción al absurdo con el rango","Tomar un generador maximal LI","Ver que F/G = t(F/G) para cierto G","Todo cociente de un módulo FG es también FG"
"¿Qué es un submódulo esencial?","Un submódulo que interseca a todos los demás","Un submódulo que nunca es FG","Un submódulo que nunca es submódulo de ningún otro","Un submódulo que nunca admite complemento directo"
"¿Puede ser (0) un submódulo esencial?","No porque (0) ∩ N = (0)","Sí, la definición lo permite","No porque (0) no es FG","Sí, pero solo en anillos que no son DIPs"
